ssn,name,birthDate,address,sex,contacInformation, insuranceProviders,emergencyContactDetails
31802034695016,Osman Yehia Aser,2018-02-03,78 El Galaa Street,M,01346106063,Arab Misr Insurance Group (AMIG)
2196504113591313,HossnahMae Mohamed Yehia,1965-04-11,75 El Labban Road,F,01316022894,Delta Insurance Company
31407307771302,Mona Usama Farouk,2014-07-30,14 El Nabi Daniel Square,F,01334094106,Egyptian Saudi Insurance House (ESIH)
2199203166476105,Fatma Nabil Lofty,1992-03-16,36 El Mansheya Street,F,01364692789,Misr Insurance Company (MIC)
31303131330761,Mariem Beshoy Abdulmoniem,2013-03-13,84 El Taawun Street,F,01330755035,Misr Insurance Company (MIC)
2198603233622730,Hafsa Hashem Khalid,1986-03-23,117 Zaki Street,F,01385163728,AXA Egypt
30103298619158,Fares Omar Ramadan,2001-03-29,76 Sakara Road,M,01364246581,MetLife Egypt
31502088428748,Menna Fares Hisham,2015-02-08,73 El Sayed El Bakry Road,F,01376772680,Allianz Egypt
2195510075265196,Mona Abudulhady Hany,1955-10-07,103 El Kornish Road,F,01347673409,Delta Insurance Company
2197702095912768,Loai Emad Ramy,1977-02-09,19 El Mandara Gardens Street,M,01358107987,Wethaq Takaful Insurance
32002109833498,Mariem Sobhy Nabil,2020-02-10,107 El Remaya Square,F,01358573522,Delta Insurance Company
31006289324849,Usama Ramadan Omar,2010-06-28,73 El Giza Street,M,01323975149,MetLife Egypt
2197909163373664,Emad Beshoy Salem,1979-09-16,35 El Mansheya Square,M,01335297736,AXA Egypt
2193009177072197,Mona Farouk Khedr,1930-09-17,5 El Mawarid Street,F,01338891968,Wethaq Takaful Insurance
2199109118369655,Zakaria Hashem Mohamed,1991-09-11,11 El Shuhadaa Street,M,01360763382,Egyptian Saudi Insurance House (ESIH)
2198101166412360,Eyad Beshoy Haitham,1981-01-16,40 Sudan Street,M,01348406337,Delta Insurance Company
30008243705932,Yasser Mohamed Ammar,2000-08-24,115 El Obour City Street,M,01362200809,Allianz Egypt
2194702159623435,Atyah Lofty Haitham,1947-02-15,78 Galaa Street,M,01310380184,MetLife Egypt
2195711139136922,Youssef Yasser Kamel,1957-11-13,42 El Wahat Road,M,01374885529,Wethaq Takaful Insurance
31507112498571,Rawia Ismael Ashraf,2015-07-11,65 Naguib Mahfouz Street,F,01381466176,Arab Misr Insurance Group (AMIG)
2194604098740153,Motaz Ramez Usama,1946-04-09,118 El Gamaa Street,M,01388530336,MetLife Egypt
30705263382877,Heba Ahmed Ashraf,2007-05-26,24 El Labban Street,F,01362267997,Wethaq Takaful Insurance
31206191354924,Menna Nabil Omar,2012-06-19,56 El Mesaha Square,F,01341982050,AXA Egypt
31211101252196,Aser Khalid Yonis,2012-11-10,43 El Gish Road,M,01386969829,MetLife Egypt
30906094856563,Hafsa Rafat Abdulaziz,2009-06-09,23 Faisal Street,F,01377539753,Allianz Egypt
2199401108008579,Esraa Kariem Zakaria,1994-01-10,77 Giza Street,F,01394183763,Suez Canal Insurance Company (SCIC)
2195510022583587,Ashraf Atyah Ramy,1955-10-02,9 El Agouza Street,M,01394426643,Arope Insurance Egypt
31807194599487,Ammar Seif Abdulrahman,2018-07-19,2 Qasr El Aini Street,M,01361729052,AXA Egypt
2198204231352335,Yonis Fares Mohamed,1982-04-23,36 Palestine Street,M,01312407865,AXA Egypt
30406137293251,iNour Hashem Boles,2004-06-13,87 Masr Helwan Agriculture Road,F,01336652209,Misr Insurance Company (MIC)
30410273037383,Usama Nabil Sherif,2004-10-27,21 El Khalifa Street,M,01399442018,Suez Canal Insurance Company (SCIC)
2194003164684318,Loai Boles Yassin,1940-03-16,3 El Malek El Saleh Street,M,01391421398,Arope Insurance Egypt
2193006211118956,Salma Khedr Ahmed,1930-06-21,35 El Labban Gardens Road,F,01390734678,Arab Misr Insurance Group (AMIG)
31003218255312,Noureen Yasser Ramy,2010-03-21,63 El Raml Station Gardens Avenue,F,01386669205,Delta Insurance Company
2195808077624264,Boles Taha Sobhy,1958-08-07,72 El Orouba Street,M,01390849400,Allianz Egypt
2196703292322817,Yassin Eyad Eyad,1967-03-29,71 El Maamora Square,M,01355344054,Misr Insurance Company (MIC)
2193204029590946,Hashem Boles Ramy,1932-04-02,79 El Amir Kamal Street,M,01387761538,Egyptian Saudi Insurance House (ESIH)
2199704263764851,Yehia Fathy Awad,1997-04-26,75 El Gamaa Street,M,01356922490,Delta Insurance Company
30902013435491,Zakaria Fathy Lofty,2009-02-01,80 El Khatib Street,M,01358607304,Allianz Egypt
2198811257951552,Ezzat Abudulhady Fathy,1988-11-25,19 El Orman Road,M,01362964799,Egyptian Saudi Insurance House (ESIH)
31406224332668,Youssef Motaz Hisham,2014-06-22,36 El Ibrahimeya Gardens Avenue,M,01391550417,Wethaq Takaful Insurance
32005097708583,Abdulmoniem Tamer Ahmed,2020-05-09,109 El Mansheya Road,M,01313808452,Allianz Egypt
31806012309712,Farouk Yassin Moamen,2018-06-01,83 El Mandara Street,M,01374849457,Arab Misr Insurance Group (AMIG)
2194905132135158,Eman Abdulaziz Salem,1949-05-13,89 El Nabi Daniel Avenue,F,01369915792,AXA Egypt
2197805193966717,Usama Kariem Khalid,1978-05-19,6 El Bahr El Aazam Street,M,01387592704,AXA Egypt
2198205236405708,Osman Usama Zakaria,1982-05-23,27 El Gish Road,M,01321219443,AXA Egypt
2193511114268897,Yassin Yonis Abdulaziz,1935-11-11,103 El Giza Street,M,01325852020,Wethaq Takaful Insurance
